BFD	RA	Dec	Diameter	mag	HD	HIP	Name
60 tau Dra	19.25916972	73.35547222		4.45	181984	94648	
1 Vul	19.27028917	21.390425		4.76	180554	94703	
21 the Lyr	19.27280389	38.13373056		4.35	180809	94713	
tau Pav	19.27461444	-69.19082778		6.25	179009	94724	
22 Aql	19.27528694	4.834794444		5.59	180482	94727	
RY Sgr	19.27576833	-33.52231389		6.58	180093	94730	
1 kap Cyg	19.28504694	53.36845556		3.8	181276	94779	
43 d Sgr	19.29391083	-18.95291111		4.88	180540	94820	
2 Vul	19.29547972	23.0252		5.46	180968	94827	
25 ome01 Aql	19.29694389	11.59542222		5.28	180868	94834	
23 Aql	19.30902667	1.085116667		5.1	180972	94885	
U Sge	19.31344667	19.61048056		6.5	181182	94910	
24 Aql	19.31415083	0		6.4	181053	94913	
28 A Aql	19.32759694	12.37468333		5.53	181333	94982	
29 ome02 Aql	19.3314075	11.53496389		6.03	181383	95002	
26 f Aql	19.34247389	-5.415766667		4.98	181391	95066	
27 d Aql	19.34324639	0		5.46	181440	95073	
58 pi. Dra	19.34446972	65.71453056		4.6	182564	95081	
UX Dra	19.35986583	76.55959722		6.22	183556	95154	
44 rho01 Sgr	19.36121083	-17.8472		3.92	181577	95168	
46 ups Sgr	19.36211778	-15.95501667		4.52	181615	95176	
45 rho02 Sgr	19.36413778	-18.30838889		5.84	181645	95188	
bet01 Sgr	19.37730333	-44.45896111		3.96	181454	95241	Arkab Prior
3 Vul	19.38080139	26.26240833		5.22	182255	95260	
eta Tel	19.38089028	-54.42393056		5.03	181296	95261	
bet02 Sgr	19.3869825	-44.79978333		4.27	181623	95294	Arkab Posterior
alf Sgr	19.39810472	-40.61593611		3.96	181869	95347	Rukbat
2 Cyg	19.40210528	29.62134722		4.99	182568	95372	
2 Sge	19.40613194	16.93771944		6.27	182490	95398	
3 Sge	19.41261361	16.957025		6.84	182571	95435	
31 b Aql	19.41616667	11.94442778		5.17	182572	95447	
47 chi01 Sgr	19.42124556	-24.50858056		5.02	182369	95477	
48 chi02 Sgr	19.4228725	-24.41210278		7.26	182391	95486	
4 Vul	19.42461167	19.79836667		5.14	182762	95498	
49 chi03 Sgr	19.42490556	-23.96245556		5.45	182416	95503	
30 del Aql	19.42497194	3.114783333		3.36	182640	95501	Denebokab
4 Cyg	19.43586806	36.31789722		5.17	183056	95556	
5 Vul	19.43701278	20.09773333		5.6	182919	95560	
50 Sgr	19.43865472	-21.77669444		5.57	182629	95564	
32 nu. Aql	19.44196917	0		4.64	182835	95585	
7 Cyg	19.45721056	52.32043889		5.73	183534	95656	
6 alf Vul	19.47842472	24.66489722		4.44	183439	95771	Anser
8 Vul	19.48252306	24.76871667		5.82	183491	95785	
35 c Aql	19.48360778	1.95045		5.79	183324	95793	
7 Vul	19.48913833	20.27973889		6.34	183537	95818	
U Aql	19.48926722	-7.044086111		6.37	183344	95820	
10 iot Cyg	19.49509972	51.72978333		3.76	184006	95853	
mu. Tel	19.50961472	-55.11005		6.29	183028	95932	
36 e Aql	19.51106583	-2.788886111		5.03	183630	95937	
6 bet01 Cyg	19.51202389	27.95967778		3.05	183912	95947	Albireo
6 bet02 Cyg	19.51260944	27.96526944		5.12	183914	95951	
8 Cyg	19.52953389	34.45296667		4.74	184171	96052	
61 sig Dra	19.53933111	69.66116389		4.67	185144	96100	Alsafi
38 mu. Aql	19.56815361	7.378947222		4.45	184406	96229	
9 Vul	19.57636028	19.7734		5	184606	96275	
9 Cyg	19.58081333	29.46295833		5.39	184759	96302	
37 Aql	19.58534944	-10.56044167		5.12	184492	96327	
iot Tel	19.58694083	-48.09920278		4.88	184127	96341	
11 Cyg	19.59675111	36.94453889		6.03	185037	96387	
51 h01 Sgr	19.60045944	-24.71908333		5.64	184552	96406	
13 the Cyg	19.60737028	50.22110278		4.49	185395	96441	
52 h02 Sgr	19.61177556	-24.88356944		4.59	184707	96465	
41 iot Aql	19.61202139	-1.286552778		4.36	184930	96468	
39 kap Aql	19.61484694	-7.027477778		4.93	184915	96483	
4 eps Sge	19.62149833	16.4628		5.67	185194	96516	
42 Aql	19.62981056	-4.647641667		5.45	185124	96556	
44 sig Aql	19.65323389	5.397775		5.18	185507	96665	
12 phi Cyg	19.65627944	30.153325		4.68	185734	96683	
14 Cyg	19.65735639	42.81828056		5.41	185872	96693	
53 Sgr	19.66373833	-23.42769167		6.33	185404	96729	
5 alf Sge	19.66827556	18.01389167		4.39	185758	96757	Sham
45 Aql	19.67870083	0		5.64	185762	96807	
54 e01 Sgr	19.67871778	-16.29326389		5.3	185644	96808	
6 bet Sge	19.68414972	17.47604444		4.39	185958	96837	
QS Aql	19.68486917	13.81568333		5.98	185936	96840	
16 c Cyg	19.69693139	50.52505833		5.99	186408	96895	
16 c Cyg	19.69777056	50.51751944		6.25	186427	96901	
46 Aql	19.70355917	12.19325833		6.33	186122	96931	
55 e02 Sgr	19.70864806	-16.12399167		5.06	186005	96950	
47 chi Aql	19.70945	11.82659444		5.28	186203	96957	
10 Vul	19.72859028	25.77191667		5.5	186486	97077	
15 Cyg	19.73794583	37.35435833		4.89	186675	97118	
48 psi Aql	19.74283111	13.30278056		6.25	186547	97139	
18 del Cyg	19.74956806	45.13069722		2.86	186882	97165	
49 ups Aql	19.76109667	7.613161111		5.89	186689	97229	
50 gam Aql	19.77099444	10.61326389		2.72	186791	97278	Tarazed
56 f Sgr	19.77270556	-19.76110833		4.87	186648	97290	
17 Cyg	19.77377778	33.727575		5	187013	97295	
7 del Sge	19.78979667	18.53428333		3.68	187076	97365	
nu. Tel	19.80033278	-56.3626		5.33	186543	97421	
63 eps Dra	19.80289139	70.26867778		3.84	188119	97433	Tyl
52 pi. Aql	19.81170889	11.81576667		5.75	187259	97473	
8 zet Sge	19.81629444	19.14204167		5.01	187362	97496	
chi Cyg	19.84275611	32.91405556		10.5	187796	97629	
19 Cyg	19.84277667	38.72241944		5.18	187849	97630	
V380 Cyg	19.84370194	40.59976389		5.68	187879	97634	
20 d Cyg	19.84381194	52.98800278		5.03	188056	97635	
51 Aql	19.84632889	-10.76351667		5.38	187532	97650	
54 omi Aql	19.85045639	10.41573333		5.12	187691	97675	
12 Vul	19.85114139	22.61004722		4.9	187811	97679	
57 Sgr	19.87000111	-19.045		5.88	187739	97783	
9 Sge	19.8727125	18.671875		6.24	188001	97796	
55 eta Aql	19.87454694	1.005658333		3.87	187929	97804	
23 Cyg	19.88815889	57.52346667		5.14	188665	97870	
13 Vul	19.89102611	24.07960278		4.57	188260	97886	
56 Aql	19.90229917	-8.574208333		5.76	188154	97928	
59 ksi Aql	19.90413389	8.461458333		4.71	188310	97938	
57 Aql	19.91045889	-8.227294444		5.7	188293	97966	
57 Aql	19.91057333	-8.237013889		6.49	188294	97967	
58 Aql	19.91244333	0		5.6	188350	97980	
iot Sgr	19.92102694	-41.86827778		4.12	188114	98032	
60 bet Aql	19.92188667	6.406791667		3.71	188512	98036	Alshain
24 psi Cyg	19.92716444	52.43896944		4.91	189037	98055	
58 ome Sgr	19.93065528	-26.2995		4.7	188376	98066	Terebellum
22 Cyg	19.93104528	38.48670556		4.95	188892	98068	
10 S Sge	19.93368444	16.63480278		5.71	188727	98085	
61 phi Aql	19.93729222	11.42371944		5.28	188728	98103	
21 eta Cyg	19.93843667	35.08342222		3.89	188947	98110	
59 b01 Sgr	19.94911806	-27.16986389		4.54	188603	98162	Terebellum
11 Sge	19.96262389	16.78916111		5.54	189090	98234	
61 g Sgr	19.96584167	-15.4915		5.01	188899	98258	
12 gam Sge	19.97928583	19.49215		3.51	189319	98337	
60 A Sgr	19.98255472	-26.19576944		4.84	189005	98353	Terebellum
14 Vul	19.98626083	23.10128611		5.68	189410	98375	
69 Dra	19.99350722	76.48139444		6.2	190960	98401	
the01 Sgr	19.99560528	-35.27630556		4.37	189103	98412	
the02 Sgr	19.99759917	-34.69780556		5.3	189118	98421	
25 Cyg	19.99866528	37.04288611		5.15	189687	98425	
13 Sge	20.00091917	17.51651111		5.33	189577	98438	
mu.01 Pav	20.00641306	-66.94938056		5.75	188584	98478	
eps Pav	20.009875	-72.91051111		3.97	188228	98495	
15 Vul	20.01834694	27.75357222		4.66	189849	98543	
26 e Cyg	20.02265667	50.10469444		5.06	190147	98571	
64 e Dra	20.024595	64.82097222		5.22	190544	98583	
mu.02 Pav	20.03123944	-66.94396944		5.32	188887	98624	
63 Sgr	20.03294472	-13.63721389		5.69	189741	98633	
16 Vul	20.03374639	24.93791389		5.23	190004	98636	
65 Dra	20.03894889	64.63442222		6.27	190713	98658	
62 c Sgr	20.0443	-27.70984722		4.43	189763	98688	Terebellum
67 rho Dra	20.04696417	67.87356667		4.51	190940	98702	
14 Sge	20.05833806	16.03125556		5.73	190229	98754	
15 Sge	20.06839611	17.07018611		5.8	190406	98819	
63 tau Aql	20.06897667	7.277963889		5.51	190327	98823	
62 Aql	20.07309778	0		5.67	190299	98844	
16 eta Sge	20.08597083	19.99106389		5.09	190608	98920	
65 Sgr	20.09064861	-12.66516111		6.53	190454	98953	
66 Dra	20.09246639	61.99541944		5.4	191277	98962	
27 b01 Cyg	20.10604611	35.97244722		5.38	191026	99031	
17 Vul	20.11483556	23.61442222		5.08	190993	99080	
ksi Tel	20.12309889	-52.88079167		4.93	190421	99120	
64 Aql	20.13384	0		5.97	191067	99171	
del Pav	20.14544694	-66.182075		3.55	190248	99240	
1 kap Cep	20.14815278	77.71142222		4.38	192907	99255	
28 b02 Cyg	20.15711639	36.83961944		4.93	191610	99303	
17 the Sge	20.16573556	20.91501944		6.51	191570	99352	
18 Vul	20.1759825	26.90416944		5.51	191747	99404	
65 the Aql	20.18840722	0		3.24	191692	99473	
68 Dra	20.19302778	62.07853056		5.7	192455	99500	
19 Vul	20.19665917	26.80898889		5.51	192004	99518	
1 ksi01 Cap	20.19941583	-12.39240278		6.34	191753	99529	
20 Vul	20.20019472	26.47880833		5.91	192044	99531	
2 ksi Cap	20.20718611	-12.61748056		5.84	191862	99572	
66 Aql	20.2205225	-1.009330556		5.44	192107	99631	
30 Cyg	20.22168167	46.81567222		4.8	192514	99639	
33 Cyg	20.22329639	56.56772222		4.28	192696	99655	
31 omi01 Cyg	20.22719611	46.74133056		3.8	192577	99675	
21 Vul	20.23736917	28.69481389		5.19	192518	99738	
67 rho Aql	20.23794972	15.19760556		4.94	192425	99742	
29 b03 Cyg	20.24223139	36.80631111		4.93	192640	99770	
32 omi02 Cyg	20.25786667	47.71421389		3.96	192909	99848	
22 Vul	20.25839944	23.50890833		5.18	192713	99853	
23 Vul	20.262815	27.81424722		4.5	192806	99874	
18 Sge	20.27216306	21.59870556		6.11	192836	99913	
3 Cap	20.27300139	-12.33711389		6.3	192666	99918	
24 Vul	20.27974639	24.6711		5.3	192944	99951	
5 alf01 Cap	20.29413028	-12.50821389		4.3	192876	100027	Prima Giedi
34 P Cyg	20.29644472	38.03293056		4.77	193237	100044	
4 Cap	20.30038833	-21.80995833		5.86	192879	100062	
6 alf02 Cap	20.30089472	-12.54485833		3.58	192947	100064	Secunda Giedi
36 Cyg	20.30795972	36.99980556		5.58	193369	100108	
35 Cyg	20.3108525	34.98277778		5.14	193370	100122	
7 sig Cap	20.32322333	-19.11853056		5.28	193150	100195	
71 Dra	20.32686611	62.257475		5.71	193964	100221	
AC Dra	20.33500389	68.88031667		5.59	194258	100261	
8 nu. Cap	20.34439333	-12.75907778		4.77	193432	100310	Alshat
bet02 Cap	20.34626417	-14.78488611		6.09	193452	100325	
9 bet Cap	20.35018667	-14.78140833		3.05	193495	100345	Dabih
25 Vul	20.36761944	24.44609722		5.5	193911	100435	
37 gam Cyg	20.37047306	40.25667778		2.23	194093	100453	Sadr
kap01 Sgr	20.37430694	-42.04955		5.6	193571	100469	
39 Cyg	20.39767333	32.19018056		4.43	194317	100587	
kap02 Sgr	20.39810417	-42.42284722		5.64	193807	100591	
43 Cyg	20.45062917	49.38336389		5.73	195068	100859	
10 pi. Cap	20.45533611	-18.21172222		5.08	194636	100881	Okul
40 Cyg	20.45951583	38.44034444		5.63	195050	100907	
75 Dra	20.47071833	81.42270833		5.38	196787	100965	
68 Aql	20.473585	-3.357788889		6.12	194939	100977	
11 rho Cap	20.48099806	-17.81398333		4.77	194943	101027	
42 Cyg	20.4889975	36.45472778		5.9	195324	101067	
41 Cyg	20.48992639	30.36855556		4.01	195295	101076	
74 Dra	20.49099139	81.09127778		5.96	196925	101082	
2 the Cep	20.49300833	62.99413611		4.21	195725	101093	
69 Aql	20.49416667	-2.885530556		4.91	195135	101101	
12 omi Cap	20.49794333	-18.58635278		6.74	195093	101120	
12 omi Cap	20.49830778	-18.58317222		5.94	195094	101123	
45 ome01 Cyg	20.50098333	48.95156944		4.94	195556	101138	Ruchba
1 Del	20.50498861	10.89591111		6.03	195325	101160	
44 Cyg	20.5164525	36.93584167		6.21	195593	101214	
46 ome02 Cyg	20.52189333	49.22029444		5.44	195774	101243	Ruchba
73 Dra	20.52511611	74.95462222		5.18	196502	101260	
2 eps Del	20.55354583	11.30333056		4.03	195810	101421	Deneb Dulfim
47 Cyg	20.56505167	35.25085278		4.61	196093	101474	
nu. Mic	20.5652975	-44.51604722		5.12	195569	101477	
3 eta Del	20.56584444	13.02726944		5.39	195943	101483	
4 zet Del	20.5884825	14.67421111		4.64	196180	101589	
phi01 Pav	20.59301417	-60.58175833		4.75	195627	101612	
26 Vul	20.60231639	25.88264722		6.4	196362	101641	
70 Aql	20.61212	-2.549952778		4.91	196321	101692	
27 Vul	20.617965	26.46194722		5.59	196504	101716	
13 tau01 Cap	20.622555	-15.14733611		6.76	196348	101751	
48 Cyg	20.62549389	31.57254167		6.32	196606	101765	
6 bet Del	20.62581556	14.59511389		3.64	196524	101769	Rotanev
alf Ind	20.62612056	-47.29150556		3.11	196171	101772	
rho Pav	20.62647583	-61.52992222		4.86	195961	101773	
5 iot Del	20.63031083	11.37767222		5.42	196544	101800	
71 l Aql	20.63896778	-1.105113889		4.31	196574	101847	
29 Vul	20.64203778	21.20118611		4.81	196724	101867	
28 Vul	20.64219833	24.11595833		5.06	196740	101868	
8 the Del	20.64555167	13.31512778		5.69	196725	101882	
7 kap Del	20.65216194	10.08620278		5.07	196755	101916	
14 tau Cap	20.654535	-14.954775		5.24	196662	101923	
1 Aqr	20.65691417	0		5.15	196758	101936	
9 alf Del	20.66062694	15.91205278		3.77	196867	101958	Svalocin
phi02 Pav	20.66739917	-60.54888889		5.11	196378	101983	
15 ups Cap	20.66748472	-18.13865833		5.15	196777	101984	
49 Cyg	20.68408194	32.30784722		5.53	197177	102066	
10 Del	20.68783583	14.58288056		6.01	197121	102080	
mu.02 Oct	20.69558389	-75.3508		6.51	196067	102125	
ups Pav	20.6991875	-66.76068333		5.14	196519	102157	
mu.01 Oct	20.70082944	-76.18059167		5.99	196051	102162	
51 Cyg	20.70350833	50.34002778		5.41	197511	102177	
76 Dra	20.70978861	82.53116111		5.75	199095	102208	
4 Cep	20.71972861	66.65744722		5.59	197950	102253	
X Cyg	20.72338694	35.58780556		6.48	197572	102276	
11 del Del	20.724315	15.07458333		4.43	197461	102281	
eta Ind	20.73398139	-51.920975		4.51	197157	102333	
30 Vul	20.74791722	25.27061389		4.92	197752	102388	
bet Pav	20.74930389	-66.20321389		3.42	197051	102395	
3 eta Cep	20.75482694	61.83875278		3.41	198149	102422	
ups01 Cep	20.75586889	57.57973056		4.52	198084	102431	
U Del	20.75784333	18.09003889		6.74	197812	102440	
52 Cyg	20.76104278	30.71971667		4.22	197912	102453	
16 psi Cap	20.76826778	-25.27052778		4.13	197692	102485	
17 Cap	20.76944083	-21.51403056		5.91	197725	102487	
53 eps Cyg	20.77018972	33.97027222		2.48	197989	102488	Gienah
12 gam01 Del	20.77746361	16.12413056		5.15	197963	102531	
12 gam02 Del	20.77763889	16.1243		4.27	197964	102532	
T Cyg	20.78632028	34.37413056		4.93	198134	102571	
54 lam Cyg	20.79015056	36.49097778		4.53	198183	102589	
2 eps Aqr	20.79459778	-9.495769444		3.78	198001	102618	Albali
3 k Aqr	20.79562139	-5.027691667		4.43	198026	102624	
13 Del	20.79674972	6.0078		5.57	198069	102633	
iot Mic	20.80809583	-43.988525		5.11	197937	102693	
55 Cyg	20.81563611	46.11413611		4.81	198478	102724	
sig Pav	20.82171444	-68.776525		5.41	197635	102773	
zet Ind	20.82471167	-46.22683056		4.9	198048	102790	
15 Del	20.82715778	12.54512222		6.01	198390	102805	
14 Del	20.8300725	7.864180556		6.32	198391	102819	
alf Mic	20.83280167	-33.77971944		4.89	198232	102831	
56 Cyg	20.83470306	44.05930278		5.06	198639	102843	
4 Aqr	20.85715194	-5.626658333		5.99	198571	102945	
T Vul	20.85784389	28.25050278		5.66	198726	102949	
iot Ind	20.85834722	-51.60818056		5.06	198308	102950	
18 ome Cap	20.86369194	-26.91913056		4.12	198542	102978	
bet Mic	20.86632278	-33.17797222		6.06	198529	102989	
31 Vul	20.86880028	27.096975		4.56	198809	103004	
5 Aqr	20.86908167	-5.507058333		5.55	198667	103005	
6 mu. Aqr	20.87756472	-8.983311111		4.73	198743	103045	
57 Cyg	20.88743194	44.38726667		4.8	199081	103089	
BW Vul	20.90622083	28.52199444		6.55	199140	103191	
32 Vul	20.90934389	28.05762222		5.03	199169	103200	
19 Cap	20.91328222	-17.92289444		5.78	199012	103226	
bet Ind	20.91350083	-58.45415278		3.67	198700	103227	
17 Del	20.92685833	13.72153611		5.19	199253	103294	
16 Del	20.92738139	12.56855		5.54	199254	103298	
7 Aqr	20.94834056	-9.697536111		5.49	199345	103401	
58 nu. Cyg	20.95289472	41.16715833		3.94	199629	103413	
33 Vul	20.97120889	22.32591111		5.3	199697	103511	
18 Del	20.97387028	10.83929167		5.51	199665	103527	
1 eps Equ	20.98457833	4.293505556		5.3	199766	103569	
20 Cap	20.99337194	-19.03528056		6.26	199728	103616	
59 f01 Cyg	20.99709806	47.52094444		4.74	200120	103632	
11 Aqr	21.0094	-4.730263889		6.21	199960	103682	
60 Cyg	21.01970167	46.155775		5.38	200310	103732	
gam Mic	21.02151639	-32.25776111		4.67	199951	103738	
2 lam Equ	21.03680806	7.179794444		6.72	200256	103813	
zet Mic	21.04943139	-38.63144444		5.32	200163	103882	
12 Aqr	21.06796639	-5.823719444		7.31	200496	103981	
22 eta Cap	21.07342278	-19.85493056		4.82	200499	104019	Arm
3 Equ	21.07629194	5.502861111		5.63	200644	104031	
alf Oct	21.07862833	-77.02378056		5.13	199532	104043	
62 ksi Cyg	21.08218417	43.92785278		3.72	200905	104060	
mu. Ind	21.08729139	-54.72703889		5.17	200365	104085	
4 Equ	21.09076	5.958175		5.94	200790	104101	
77 Dra	21.09146222	78.12639167		5.91	201908	104105	
23 the Cap	21.09910583	-17.23270833		4.08	200761	104139	
del Mic	21.10031889	-30.12511944		5.69	200718	104148	
2 PsA	21.106855	-32.34161944		5.2	200763	104174	
eta Mic	21.10708889	-41.38596111		5.55	200702	104177	
DT Cyg	21.10840111	31.18465833		5.77	201078	104185	
63 f02 Cyg	21.11002611	47.64840278		4.56	201251	104194	
61 Cyg	21.11415806	38.74193333		5.2	201091	104214	
61 Cyg	21.11535278	38.74210833		6.05	201092	104217	
24 A Cap	21.11879667	-25.00585		4.49	200914	104234	
25 chi Cap	21.14267056	-21.19352778		5.3	201184	104365	
V389 Cyg	21.14413722	30.20563056		5.6	201433	104371	
sig Oct	21.14634889	-88.9565		5.45	177482	104382	Polaris Australis
27 Cap	21.15916611	-20.55665833		6.25	201352	104452	
13 nu. Aqr	21.15990222	-11.37169444		4.5	201381	104459	
5 gam Equ	21.17236139	10.131575		4.7	201601	104521	
6 Equ	21.17536556	10.04891667		6.07	201616	104538	
64 zet Cyg	21.21560556	30.22693889		3.21	202109	104732	
3 PsA	21.22148056	-27.61935278		5.41	201901	104750	
omi Pav	21.22236417	-70.12626389		5.06	201371	104755	
7 del Equ	21.24133722	10.00698611		4.47	202275	104858	
65 tau Cyg	21.24651722	38.04538056		3.74	202444	104887	
28 phi Cap	21.26052778	-20.65169722		5.17	202320	104963	
29 Cap	21.26245583	-15.1715		5.31	202369	104974	
8 alf Equ	21.26373	5.247863889		3.92	202447	104987	Kitalpha
67 sig Cyg	21.29026472	39.39468056		4.22	202850	105102	
66 ups Cyg	21.29863	34.89688333		4.41	202904	105138	
eps Mic	21.29896806	-32.17254444		4.71	202627	105140	
30 Cap	21.29924611	-17.98513889		5.4	202671	105143	
15 Aqr	21.30307583	-4.519475		5.83	202753	105164	
31 Cap	21.30434972	-17.46226944		7.18	202723	105168	
68 A Cyg	21.30755194	43.94594444		5.04	203064	105186	
5 alf Cep	21.30960833	62.58546111		2.45	203280	105199	Alderamin
6 Cep	21.32283778	64.87185556		5.19	203467	105268	
the Ind	21.33107972	-53.44926667		4.39	202730	105319	
the01 Mic	21.34601028	-40.80950278		4.8	203006	105382	
16 Aqr	21.35119972	-4.560125		5.87	203222	105412	
34 Vul	21.35122056	23.85597778		5.58	203344	105411	
9 Equ	21.35134028	7.354505556		5.81	203291	105413	
1 Peg	21.36811111	19.80450833		4.08	203504	105502	
32 iot Cap	21.37077667	-16.83454167		4.28	203387	105515	
10 bet Equ	21.38155917	6.811138889		5.16	203562	105570	
17 Aqr	21.38229306	-9.319333333		5.99	203525	105574	
33 Cap	21.40266472	-20.85186389		5.38	203638	105665	
18 Aqr	21.4031925	-12.87810833		5.48	203705	105668	
Y Pav	21.40465278	-69.73387778		6.28	203133	105678	
the02 Mic	21.40689306	-41.00671667		5.76	203585	105696	
20 Aqr	21.41435389	-3.398352778		6.38	203843	105729	
19 Aqr	21.420285	-9.748541667		5.71	203875	105761	
21 Aqr	21.42137722	-3.556741667		5.48	203926	105767	
69 Cyg	21.42972917	36.66738611		5.93	204172	105811	
gam Ind	21.43762194	-54.66045833		6.1	203760	105841	
gam Pav	21.44069389	-65.36803611		4.21	203608	105858	
34 zet Cap	21.44445222	-22.41137778		3.77	204075	105881	
35 Cap	21.45411639	-21.19620833		5.78	204139	105928	
70 Cyg	21.45593444	37.1168		5.3	204403	105942	
35 Vul	21.46112722	27.60859167		5.39	204414	105966	
7 Cep	21.46281722	66.80909722		5.42	204770	105972	
8 bet Cep	21.47766	70.56069444		3.23	205021	106032	Alfirk
36 b Cap	21.47872222	-21.80718056		4.5	204381	106039	
SX Pav	21.47914639	-69.50538889		5.47	203881	106044	
5 PsA	21.4843725	-31.23855556		6.52	204394	106067	
71 g Cyg	21.49081944	46.54058889		5.22	204771	106093	
2 Peg	21.4991375	23.63883611		4.52	204724	106140	
22 bet Aqr	21.52597806	-5.571158333		2.9	204867	106278	Sadalsuud
ksi Gru	21.53496583	-41.17930833		5.29	204783	106327	
6 PsA	21.53738056	-33.94462222		5.97	204854	106340	
73 rho Cyg	21.56634778	45.59183611		3.98	205435	106481	
72 Cyg	21.57960194	38.53406111		4.87	205512	106551	
37 Cap	21.58084722	-20.08428333		5.7	205289	106559	
W Cyg	21.60069333	45.37458333		5.96	205730	106642	
8 PsA	21.60304833	-26.17151667		5.73	205471	106654	
7 PsA	21.61355583	-33.0479		6.1	205529	106703	
74 Cyg	21.61582639	40.41352222		5.04	205835	106711	
39 eps Cap	21.61800639	-19.46601389		4.51	205637	106723	Kastra
CP Cyg	21.62440944	44.69655		6.19	205939	106752	
3 Peg	21.62879056	6.618388889		6.19	205811	106783	
23 ksi Aqr	21.62919722	-7.8542		4.68	205767	106786	
5 Peg	21.62928611	19.31861111		5.46	205852	106787	
9 Cep	21.63200722	62.08194722		4.76	206165	106801	
4 Peg	21.64220583	5.771741667		5.66	205924	106856	
24 Aqr	21.65875306	0		6.66	206058	106942	
25 d Aqr	21.65924083	2.243561111		5.1	206067	106944	
40 gam Cap	21.66815222	-16.66225556		3.69	206088	106985	Nashira
75 Cyg	21.66975306	43.27383333		5.09	206330	106999	
nu. Oct	21.69124472	-77.38948889		3.73	205478	107089	
42 Cap	21.69246139	-14.04760556		5.16	206301	107095	
76 Cyg	21.69284861	40.80521944		6.07	206538	107097	
11 Cep	21.69869222	71.31141944		4.55	206952	107119	
41 Cap	21.70019389	-23.26285278		5.24	206356	107128	
V460 Cyg	21.70030083	35.51020278		5.98	206570	107129	
80 pi.01 Cyg	21.70157306	51.18961944		4.69	206672	107136	Azelfafage
26 Aqr	21.70280917	1.285255556		5.66	206445	107144	
7 Peg	21.70429194	5.680136111		5.3	206487	107151	
77 Cyg	21.70637806	41.07702222		5.73	206644	107162	
43 kap Cap	21.71097444	-18.86632222		4.72	206453	107188	
78 Dra	21.71778944	72.32008611		5.18	207130	107230	
44 Cap	21.71788806	-14.39971667		5.88	206561	107232	
79 Cyg	21.7237925	38.28359167		5.69	206774	107253	
mu. Cep	21.72512806	58.78004444		4.23	206936	107259	Erakis
45 Cap	21.73360167	-14.74937222		5.96	206677	107302	
78 mu.01 Cyg	21.73571917	28.74260556		4.49	206826	107310	
8 eps Peg	21.73642806	9.875008333		2.38	206778	107315	Enif
9 Peg	21.74186	17.35001667		4.34	206859	107348	
10 kap Peg	21.74409083	25.64503056		4.14	206901	107354	
9 iot PsA	21.74911389	-33.025775		4.35	206742	107380	
46 c Cap	21.75007056	-9.082430556		5.1	206834	107382	
10 nu. Cep	21.75748028	61.12081111		4.25	207260	107418	
12 Peg	21.76787889	22.94888056		5.29	207089	107472	
47 Cap	21.77118583	-9.275938889		6	207005	107487	
48 lam Cap	21.77558278	-11.36595278		5.57	207052	107517	
81 pi.02 Cyg	21.77989056	49.309575		4.23	207330	107533	
49 del Cap	21.78397056	-16.12659444		2.85	207098	107556	Deneb Algedi
11 Peg	21.78721167	2.686125		5.63	207203	107575	
12 Cep	21.79036028	60.69268889		5.53	207528	107586	
10 the PsA	21.79559667	-30.8983		5.02	207155	107608	
14 Peg	21.83074861	30.17421111		5.07	207650	107763	
13 Peg	21.83573528	17.28594722		5.34	207652	107788	
omi Ind	21.84643889	-69.62940278		5.52	207241	107835	
lam Oct	21.84883472	-82.71843333		5.27	206240	107843	
15 Peg	21.87497694	28.79354167		5.52	207978	107975	
16 Peg	21.88438028	25.92513889		5.09	208057	108022	
51 mu. Cap	21.88827	-13.55176944		5.08	207958	108036	
gam Gru	21.89881361	-37.36487222		3	207971	108085	Al'danab
13 Cep	21.91476528	56.61122778		5.74	208501	108165	
pi. Ind	21.9372375	-57.89959167		6.17	208149	108281	
VV Cep	21.94420528	63.62556111		5.11	208816	108317	
17 Peg	21.94899194	12.07649167		5.54	208565	108339	
del Ind	21.96529972	-54.99257222		4.4	208450	108431	
kap Ind	21.97502167	-59.01214444		6.13	208496	108478	
16 Cep	21.98749083	73.17989167		5.04	209369	108535	
18 Peg	22.00220222	6.717441667		6	209008	108612	
12 eta PsA	22.01398583	-28.45393611		5.43	209014	108661	
28 Aqr	22.01805972	0		5.6	209128	108691	
20 Peg	22.01815278	13.11982222		5.61	209166	108693	
19 Peg	22.01923194	8.257169444		5.65	209167	108699	
14 Cep	22.03460444	58.00036944		5.55	209481	108772	
29 Aqr	22.04062333	-16.96483611		6.39	209278	108797	
30 Aqr	22.05457222	-6.522408333		5.55	209396	108868	
31 omi Aqr	22.05523417	-2.155363889		4.74	209409	108874	
21 Peg	22.05528667	11.38654722		5.83	209459	108875	
eps Ind	22.05601556	-56.78588056		4.69	209100	108870	
17 ksi Cep	22.06318111	64.62797778		4.26	209790	108917	Alkurhah
18 Cep	22.06471611	63.11991667		5.26	209772	108924	
15 Cep	22.06496	59.81457778		6.69	209744	108925	
13 PsA	22.07328778	-29.91653056		6.45	209476	108952	
32 Aqr	22.07983972	0		5.29	209625	108991	
20 Cep	22.08347194	62.78566944		5.27	209960	109005	
19 Cep	22.08577528	62.27981944		5.07	209975	109017	
23 Peg	22.09296528	28.96398056		5.69	209833	109056	
